meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2271.25675703],0.06915314,0.32196257,0.1356690563261509,0.5934802889823914,0.45781123265624046,-0.54823256,0.00029426595,0.00029426595,1978.6074552102773,-12.2197075,-395.70013,228.45303,-12.2197075,-395.70013,228.45303,624.1532,-12.2197075,male
[2932.10192448],0.0716274,0.40364486,0.2029852382838726,0.6518181562423706,0.448832917958498,-0.83502823,0.0008821012,0.0008821012,2849.07539604426,-11.67298,-402.37762,203.06595,-11.67298,-402.37762,203.06595,605.4436,-11.67298,male
[2707.39879747],0.066900216,0.34118336,0.11716209538280964,0.6607034653425217,0.543541369959712,-0.98462373,0.0018686256,0.0018686256,2681.3791476924766,-12.176301,-495.6648,243.54004,-12.176301,-495.6648,243.54004,739.20483,-12.176301,male
[3144.4297232],0.088698104,0.5075885,0.32529062032699585,0.7193025797605515,0.3940119594335556,-0.8841981,0.00066421187,0.00066421187,3140.7617513809337,-5.383266,-174.22247,175.41238,-5.383266,-174.22247,175.41238,349.63486,-5.383266,male
[2984.92532751],0.074142314,0.60208285,0.4623797535896301,0.7740581035614014,0.31167834997177124,-0.60698014,0.0018579724,0.0018579724,2677.5692017984393,-0.6556653,-695.0978,203.14319,-0.6556653,-695.0978,203.14319,898.24097,-0.6556653,male
[2614.44684266],0.07070259,0.30105364,0.1048135757446289,0.6073643565177917,0.5025507807731628,-0.80871207,0.0010965196,0.0010965196,2808.777755722786,-12.597956,-501.98618,233.24545,-12.597956,-501.98618,233.24545,735.2316,-12.597956,male
[2749.63420418],0.07424311,0.32081228,0.12466391175985336,0.618862584233284,0.49419867247343063,-0.8154709,0.0017074684,0.0017074684,2742.2144915000913,-11.299235,-488.8712,234.16397,-11.299235,-488.8712,234.16397,723.03516,-11.299235,male
[2736.27371628],0.061294325,0.35126072,0.13810577988624573,0.6505260765552521,0.5124202966690063,-0.96908206,0.0017910762,0.0017910762,2806.7315862240857,-12.108619,-508.30524,241.2197,-12.108619,-508.30524,241.2197,749.5249,-12.108619,male
[2688.50016445],0.050011955,0.35304782,0.13768842443823814,0.6499138325452805,0.5122254081070423,-0.8528463,0.0014924218,0.0014924218,2471.5903005629616,-13.678635,-511.38028,248.86278,-13.678635,-511.38028,248.86278,760.24304,-13.678635,male
[2474.05450304],0.0680211,0.32801884,0.13244546949863434,0.6217102855443954,0.4892648160457611,-0.7576999,0.0011291808,0.0011291808,2492.774195069689,-11.541292,-518.92676,246.69342,-11.541292,-518.92676,246.69342,765.6202,-11.541292,male
[2623.39886305],0.052645937,0.33881134,0.12663164734840393,0.6477057039737701,0.5210740566253662,-0.9483492,0.0009574898,0.0009574898,2343.8988232148263,-13.20524,-502.35672,236.96646,-13.20524,-502.35672,236.96646,739.3232,-13.20524,male
[2445.16712275],0.08977856,0.2787374,0.0887068435549736,0.6018487364053726,0.513141892850399,-0.7862857,0.00062521413,0.00062521413,2180.043561790539,-11.796373,-483.168,239.02472,-11.796373,-483.168,239.02472,722.19275,-11.796373,male
[2527.7808002],0.08253922,0.2898199,0.08664474077522755,0.5934744626283646,0.506829721853137,-0.69132376,0.0007852114,0.0007852114,2545.8145215857626,-11.538004,-462.067,225.00085,-11.538004,-462.067,225.00085,687.0679,-11.538004,male
[2610.20870339],0.071942516,0.32203722,0.13327644020318985,0.6295172572135925,0.4962408170104027,-0.83089083,0.0008778025,0.0008778025,2619.0545106676136,-11.681767,-500.76175,252.61243,-11.681767,-500.76175,252.61243,753.37415,-11.681767,male
[2441.87837659],0.052157693,0.31151906,0.11418605968356133,0.63057741522789,0.5163913555443287,-0.8090133,0.0009786228,0.0009786228,2473.824156481052,-13.358448,-505.35916,249.75223,-13.358448,-505.35916,249.75223,755.1114,-13.358448,male
[2949.26400608],0.035960305,0.4753841,0.2100151665508747,0.7302955985069275,0.5202804319560528,-1.1295046,0.002181272,0.002181272,2359.6643300666756,-14.733608,-499.99078,239.98264,-14.733608,-499.99078,239.98264,739.9734,-14.733608,male
[2934.58958439],0.03847894,0.4251051,0.19050005823373795,0.6986292153596878,0.5081291571259499,-0.98258895,0.0025480967,0.0025480967,2770.461578135005,-14.177974,-509.56693,253.83804,-14.177974,-509.56693,253.83804,763.40497,-14.177974,male
[2796.77996164],0.06058654,0.36829305,0.13908742368221283,0.6722187399864197,0.5331313163042068,-0.9305875,0.0018766325,0.0018766325,2919.2714100758703,-13.0699625,-504.19424,250.56357,-13.0699625,-504.19424,250.56357,754.7578,-13.0699625,male
[2479.52036134],0.081201896,0.2658336,0.09423617459833622,0.5814341306686401,0.4871979560703039,-0.6496117,0.0007290478,0.0007290478,2581.9990122609624,-11.406272,-501.46494,230.96176,-11.406272,-501.46494,230.96176,732.4267,-11.406272,male
[2739.75283088],0.048265852,0.32938293,0.13835632055997849,0.6351660490036011,0.4968097284436226,-0.8358055,0.0013731733,0.0013731733,2554.050715190138,-12.732718,-495.18375,232.0908,-12.732718,-495.18375,232.0908,727.27454,-12.732718,male
[2919.53461748],0.06049519,0.38554108,0.1310255154967308,0.6837069392204285,0.5526814237236977,-1.0827224,0.0016700976,0.0016700976,2814.0345884596722,-13.451933,-508.03827,232.65855,-13.451933,-508.03827,232.65855,740.69684,-13.451933,male
[2828.56392497],0.03703736,0.4535814,0.19331054016947746,0.7119639366865158,0.5186533965170383,-1.0449888,0.0020438733,0.0020438733,2420.1150040832226,-14.134066,-515.04944,235.4408,-14.134066,-515.04944,235.4408,750.49023,-14.134066,male
[2709.87432365],0.06233294,0.31490862,0.11943792551755905,0.6146281063556671,0.49519018083810806,-0.7559088,0.0013731532,0.0013731532,2624.9011301753985,-13.000869,-488.10068,236.69168,-13.000869,-488.10068,236.69168,724.79236,-13.000869,male
[2687.60212261],0.0677845,0.31030247,0.11168492957949638,0.626900389790535,0.5152154602110386,-0.8840471,0.0013857563,0.0013857563,2421.224835586294,-12.876097,-495.52518,246.64357,-12.876097,-495.52518,246.64357,742.16876,-12.876097,male
[2809.96361435],0.06702235,0.3501456,0.13157466426491737,0.6473205089569092,0.5157458446919918,-0.96471286,0.0013306456,0.0013306456,2652.009126291703,-13.06884,-495.56906,231.31416,-13.06884,-495.56906,231.31416,726.88324,-13.06884,male
[2688.26540072],0.062437486,0.30912215,0.10655005276203156,0.6266622543334961,0.5201122015714645,-0.8533115,0.0011355411,0.0011355411,2555.3119411671,-13.508221,-489.13654,237.44682,-13.508221,-489.13654,237.44682,726.5834,-13.508221,male
[2885.6489908],0.048832413,0.3840475,0.1669461913406849,0.6663960516452789,0.49944986030459404,-0.9211785,0.002299887,0.002299887,2914.5416996621702,-13.370668,-503.99182,262.07114,-13.370668,-503.99182,262.07114,766.063,-13.370668,male
[2406.53461288],0.072199605,0.33117694,0.12259277515113354,0.6166175603866577,0.4940247852355242,-0.7338896,0.0009024299,0.0009024299,2219.3065300849958,-11.502194,-479.0827,244.26514,-11.502194,-479.0827,244.26514,723.34784,-11.502194,male
[2759.74417442],0.049711283,0.3743477,0.15518724918365479,0.6505353599786758,0.49534811079502106,-0.946585,0.0010263185,0.0010263185,2477.143099391332,-12.381958,-483.72293,220.5304,-12.381958,-483.72293,220.5304,704.2533,-12.381958,male
[2793.61404869],0.053448986,0.35999188,0.13766490295529366,0.6550417095422745,0.5173768065869808,-0.988324,0.0021795754,0.0021795754,2746.259754093567,-12.716623,-496.4472,242.17554,-12.716623,-496.4472,242.17554,738.62274,-12.716623,male
[2669.66051345],0.06581975,0.41143817,0.1979331485927105,0.6713407933712006,0.47340764477849007,-0.9079034,0.0013362153,0.0013362153,2537.630754650696,-11.498127,-504.11136,244.31998,-11.498127,-504.11136,244.31998,748.43134,-11.498127,male
[2836.28796004],0.056914035,0.38994664,0.16427475959062576,0.6706517934799194,0.5063770338892937,-0.9946211,0.0016245866,0.0016245866,2724.607714974583,-12.2175045,-502.84167,228.95421,-12.2175045,-502.84167,228.95421,731.7959,-12.2175045,male
[2997.33522046],0.045813832,0.43628994,0.16502304002642632,0.7026909291744232,0.5376678891479969,-1.107009,0.0032869314,0.0032869314,2937.1125789907405,-14.789572,-494.18927,242.36432,-14.789572,-494.18927,242.36432,736.5536,-14.789572,male
[2495.54427868],0.07435151,0.2895267,0.09877586551010609,0.5931411236524582,0.4943652581423521,-0.53219754,0.0010085249,0.0010085249,2249.9283401161592,-12.833636,-486.98853,247.08795,-12.833636,-486.98853,247.08795,734.0765,-12.833636,male
[2621.37119471],0.09111444,0.39292255,0.1543022021651268,0.6678359061479568,0.51353370398283,-0.99858826,0.0008984337,0.0008984337,2697.9584712115347,-10.423415,-464.47913,228.87299,-10.423415,-464.47913,228.87299,693.3521,-10.423415,male
